image_path,split,filename,classes,class_count,label_path
train\Image_100_png.rf.f3ec763ac67b44e5d5ee216fe56eaa29.jpg,train,Image_100_png.rf.f3ec763ac67b44e5d5ee216fe56eaa29.jpg,organic,1,train\_classes.csv
train\Image_101_png.rf.a6fff0ce2d2c2bd46a06cdc9f7f0c2c6.jpg,train,Image_101_png.rf.a6fff0ce2d2c2bd46a06cdc9f7f0c2c6.jpg,paper,1,train\_classes.csv
train\Image_102_png.rf.6016b13cd238d0115ca68de3be34c36a.jpg,train,Image_102_png.rf.6016b13cd238d0115ca68de3be34c36a.jpg,glass,1,train\_classes.csv
train\Image_104_png.rf.5dde73a64f11cacdec855bfe829e1ef9.jpg,train,Image_104_png.rf.5dde73a64f11cacdec855bfe829e1ef9.jpg,glass,1,train\_classes.csv
train\Image_105_png.rf.691afc0fcc9ff8ecfc3fd62f55ace008.jpg,train,Image_105_png.rf.691afc0fcc9ff8ecfc3fd62f55ace008.jpg,paper,1,train\_classes.csv
train\Image_106_png.rf.5965c1e80da97f1183f1c8e2b8751891.jpg,train,Image_106_png.rf.5965c1e80da97f1183f1c8e2b8751891.jpg,organic,1,train\_classes.csv
train\Image_106_png.rf.5cab82c9e48a4a53985a5653aca7d769.jpg,train,Image_106_png.rf.5cab82c9e48a4a53985a5653aca7d769.jpg,steel,1,train\_classes.csv
train\Image_106_png.rf.865b4a30dfcacc54d9f26d8fab28aa7b.jpg,train,Image_106_png.rf.865b4a30dfcacc54d9f26d8fab28aa7b.jpg,glass,1,train\_classes.csv
train\Image_107_png.rf.e49c7b13fff334f75bb0f4ed34a3572f.jpg,train,Image_107_png.rf.e49c7b13fff334f75bb0f4ed34a3572f.jpg,"glass, steel",2,train\_classes.csv
train\Image_108_png.rf.0adc2ebcb7dea37fcf8360cf4a6900fe.jpg,train,Image_108_png.rf.0adc2ebcb7dea37fcf8360cf4a6900fe.jpg,organic,1,train\_classes.csv
train\Image_109_png.rf.1f5538eeac0d2dc685e2284a6f207c98.jpg,train,Image_109_png.rf.1f5538eeac0d2dc685e2284a6f207c98.jpg,steel,1,train\_classes.csv
train\Image_109_png.rf.89db4fe8ba4ab4e9c862735ea93fef2c.jpg,train,Image_109_png.rf.89db4fe8ba4ab4e9c862735ea93fef2c.jpg,polythene,1,train\_classes.csv
train\Image_109_png.rf.f404dcc52552f0d719a499117ba2ed28.jpg,train,Image_109_png.rf.f404dcc52552f0d719a499117ba2ed28.jpg,organic,1,train\_classes.csv
train\Image_10_png.rf.07f4336b6128be34d2e3d9f45df3fcba.jpg,train,Image_10_png.rf.07f4336b6128be34d2e3d9f45df3fcba.jpg,plastic,1,train\_classes.csv
